brand,review,sentiment
Android,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",positive
Android,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,positive
Android,This is a #WINNING picture #android #google #sxsw {link},positive
Android,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,negative
Android,I knew if I plied @mention with beer and stogies last night I'd weasel my way into the Team Android party tonight. #success #SXSW.,positive
Android,Alert the media.  I just saw the one and only Android tablet at #sxsw.  Like finding a needle in a haystack!  I also saw a Cr-48.,positive
Android,"Farooqui: Now about mobile. iOS, with Android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw",positive
Android,I need to play this game on my #android - #SXSW {link},positive
Android,Talked to some great developers at the Android meetup. Looking forward to working with them. #sxsw #android #androidsxsw,positive
Android,There are thousands of iPad 2's floating around Austin at #sxsw and I have not seen even one single Android tablet.  Not even one. Zero.,positive
Android,Woot! RT @mention First Android @mention disc {link} ... Market version coming soon! #SXSW,positive
Android,Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,positive
Android,Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud,positive
Android,{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,positive
Android,Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,negative
Android,@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,positive
Android,@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,negative
Android,Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},positive
Android,@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,positive
Android,Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings,positive
Android,@mention Congratulations on winning the Android award! :) #sxsw,positive
Android,@mention crew ripped up Android party - thanks for having us Droid! {link} #sxsw,positive
Android,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,positive
Android,#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw,positive
Android,#SXSW I need the best android dev here.  Html5/JS issue need solving quickly.  Handsome reward and love for grabs.,positive
Android,I'm giving $100 to the next person who comes up to me at #SXSW and tells me how cool Android is -- look around for me!  Look hard.,positive
Android,"Lunch with @mention at #CNNGrill. View from the HTML5 dev trenches: Android is painful, iOS is sleek (for what @mention is doing) #sxsw",negative
Android,What's behind #Android's race to No. 1? {link} #smartphones #technology #mobile #sxsw #sxswi,positive
Android,the @mention booth is up and ready for the #sxsw tradeshow tmr! Off to the Android party...,positive
Android,New @mention for iPhone+Android.. No more service fees! Booyah #SXSW #GitChoCocktailOn,positive
Android,awesome: iphones etc on at&amp;t and wifi frozen at #sxsw but  #tmobile teathering on my Android G2 works like a charm,positive
Android,Just met Jared at the Android meetup #sxsw. Big Android fan!  {link},positive
Android,@mention just gave a great 15 minute preso on designing for #android! #mccannsxsw #SXSW,positive
Android,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",positive
Android,"Tech Check podcast -- South By Southwest, Android passes BlackBerry, a big Twitter fail -- {link} #sxsw #cnn",positive
Android,@mention launching Gowalla 3 for Droid at #SxSW - should push 4square and Groupon {link},positive
Android,"*Spark selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw",positive
Android,"It looks like a laptop, but it's a dock for the Motorola Atrix, an Android phone from #ATT. It is awesome. #SXSW {link}",positive
Android,We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link},positive
Android,"The New @mention for the Android 3.0 is so great, can't wait to use it during #sxsw !",positive
Android,"At Team Android party, come by @mention table &amp; show us Appolicious app on yr phone to enter to win Nexus S! {link} #sxsw",positive
Android,My free android tshirt #SXSW  {link},positive
Android,Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link},positive
Android,"Heading to #sxsw? We're hosting an Android dev meetup, 1:30-2:30pm. Details to follow, but let's plan on geeking out.",neutral
Android,Excited to meet the @mention at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,negative
Android,Excited to tell y'all about the wonders of android today at #sxsw! See you soon.,positive
Android,Umm. Hello!! What about Android?! RT @mention Awesome new version of @mention for iPhone and new web site coming after #sxsw.,positive
Android,"For many of you that asked last night about the free Android phone... Sign up for urthots.com, then visit urthots.com/promo #sxswi #sxsw",positive
Android,Team Android at SXSW â€“ full party details revealed! {link} #News #austin #sxsw #team_android,positive
Android,Team Android at SXSW â€“ full party details revealed! {link} #sxsw,positive
Android,Team Android party at Lustre Pearl; so nice to be among my people!! #SXSW,positive
Android,RT @mention #sxsw #geogames #android if you develop geo-games tweet us. We'd love to talk...free beer or coffee for a couple minutes of your time.,positive
Android,"RT @mention 40 minutes til the @mention #SXSW Party. Free Beer, Free Maudies Tacos, Free iPad 2, Android Tablet &amp; Kindle giveaway bit.ly/ajs2011",positive
Android,RT @mention And we're live! Come get your Android and check us out! {link} #SXSW #android,positive
Android,RT @mention Android developers and friends: let's hang out 12:30p Saturday at #sxsw: {link} RT for your fellow Andro-nerds.,positive
Android,RT @mention Check out Lightbox.com at the Team Android Choice Awards finalists announced at #sxsw @mention and team rock!,positive
Android,RT @mention Forgot my iPhone for #sxsw. Android only. Knife to a gun fight,positive
Android,RT @mention Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,positive
Android,RT @mention Partying with #Android and @mention #sxsw @mention Lustre Pearl {link},positive
Android,RT @mention We're at Lustre Pearl for #teamandroidsxsw cause we love our Android geeks! #sxsw {link},positive
Android,RT @mention Win a #sony Xperia Play #android phone at #SXSW (tuesday 3/15) details here: {link},positive
Android,Final preparations for launch underway. Join up tomorrow - 03/10 - we've got a special Android promotion starting then! #SXSW,positive
Android,iOS app approval disrupts the continuous dev flow.  Android has been the preferred platform to fine tune and experiment #sxsw #groupchatapps,positive
Android,#sxsw Android users: we're proud of you.,positive
Android,Android growing super fast. At Lustre Pearl - Team Android party for @mention @mention @mention just walked in. #androidsxsw #sxsw,positive
Android,SXSW: Foursquare updates its merchant platform with new â€œSpecialsâ€ù {link} #Android #FlashSpecial #free #iPhone #SXSW,positive
Android,Wish I was at #SXSW meeting with everyone in #TeamAndroid and the rest of the Android community. I will be there next year.,positive
Android,"So jealous of @mention who is at the team #android event at #sxsw #androidsxsw. Get some swag, girl!!!!!",positive
