brand,review,sentiment
Google,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",positive
Google,@mention  - False Alarm: Google Circles Not Coming Nowâ€“and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,negative
Google,â€œ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswâ€ù,positive
Google,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",positive
Google,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,positive
Google,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",positive
Google,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",positive
Google,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",positive
Google,"â€œ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.â€ù",positive
Google,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",positive
Google,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,positive
Google,"â€œ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWâ€ù",positive
Google,If ur not at the #google #aclu 80's party....u should be! #sxsw,positive
Google,Google vs Bing on #bettersearch. Bing has a shot at success w/ structured search.  Potentially higher margin CPA model vs #Google. #SXSW,negative
Google,Of course Bing results are good they are Google's:) #SEO #SXSW #qagb,positive
Google,Dont miss Charles Chen for Android/ChromeOS  Access at SXSW: @mention the Google booth in Exhibit Hall 3 @mention 1PM #sxsw,positive
Google,Badgeless event! Free Drinks! â€œ@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÃ¡o #sxswâ€ù,positive
Google,One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},positive
Google,I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,positive
Google,"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",positive
Google,Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),positive
Google,haha. the google &quot;Party like it's 1986&quot; Party {link} #SXSW,neutral
Google,â€œ@mention Google now lets you block sites you can't stand {link} How about #sxsw blocking that looks like what I need,positive
Google,"â€œ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswâ€ù. Super interesting...",positive
Google,.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW  | RT @mention,positive
Google,Future of Google: Contextual discovery. Location + context helps us go deeper than ever. Searches without search @mention #sxsw,positive
Google,"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",positive
Google,Loved the honesty in Google's Marissa Mayer keynote: we have too many products and need to step up customer service for locations #sxsw,positive
Google,"google is interested in location based tech for indoor venues - businesses, convention centers etc.  Tech needs to improve first.  #sxsw",negative
Google,"my sister is throwing the Google sxsw party tonigh Come!! {link} Bands, food, art, ice cream, nifty interactive #sxsw",positive
Google,"more that just location, PixieEngine! RT @mention Google says the future is location, location, location: {link} #SXSW #CNN",negative
Google,Google to Launch Major New Social Network Called Circles  {link} #sxsw (via @mention,positive
